target_layer,model,block_type,layer,dim,topk_frequency,topk_frequency_out_of,appeared_in
1,Llama-3.2-1B-Instruct,mlp,1,698,16,16,"GPTQ_8bit/Prompt_01,GPTQ_8bit/Prompt_02,GPTQ_8bit/Prompt_03,GPTQ_8bit/Prompt_04,GPTQ_4bit/Prompt_01,GPTQ_4bit/Prompt_02,GPTQ_4bit/Prompt_03,GPTQ_4bit/Prompt_04,GPTQ_3bit/Prompt_01,GPTQ_3bit/Prompt_02,GPTQ_3bit/Prompt_03,GPTQ_3bit/Prompt_04,GPTQ_2bit/Prompt_01,GPTQ_2bit/Prompt_02,GPTQ_2bit/Prompt_03,GPTQ_2bit/Prompt_04"
1,Llama-3.2-1B-Instruct,mlp,1,1159,16,16,"GPTQ_8bit/Prompt_01,GPTQ_8bit/Prompt_02,GPTQ_8bit/Prompt_03,GPTQ_8bit/Prompt_04,GPTQ_4bit/Prompt_01,GPTQ_4bit/Prompt_02,GPTQ_4bit/Prompt_03,GPTQ_4bit/Prompt_04,GPTQ_3bit/Prompt_01,GPTQ_3bit/Prompt_02,GPTQ_3bit/Prompt_03,GPTQ_3bit/Prompt_04,GPTQ_2bit/Prompt_01,GPTQ_2bit/Prompt_02,GPTQ_2bit/Prompt_03,GPTQ_2bit/Prompt_04"
1,Llama-3.2-1B-Instruct,mlp,1,2029,16,16,"GPTQ_8bit/Prompt_01,GPTQ_8bit/Prompt_02,GPTQ_8bit/Prompt_03,GPTQ_8bit/Prompt_04,GPTQ_4bit/Prompt_01,GPTQ_4bit/Prompt_02,GPTQ_4bit/Prompt_03,GPTQ_4bit/Prompt_04,GPTQ_3bit/Prompt_01,GPTQ_3bit/Prompt_02,GPTQ_3bit/Prompt_03,GPTQ_3bit/Prompt_04,GPTQ_2bit/Prompt_01,GPTQ_2bit/Prompt_02,GPTQ_2bit/Prompt_03,GPTQ_2bit/Prompt_04"
1,Llama-3.2-1B-Instruct,mlp,1,1107,12,16,"GPTQ_8bit/Prompt_01,GPTQ_8bit/Prompt_02,GPTQ_8bit/Prompt_03,GPTQ_8bit/Prompt_04,GPTQ_4bit/Prompt_01,GPTQ_4bit/Prompt_02,GPTQ_4bit/Prompt_03,GPTQ_4bit/Prompt_04,GPTQ_3bit/Prompt_01,GPTQ_3bit/Prompt_02,GPTQ_3bit/Prompt_03,GPTQ_3bit/Prompt_04"
1,Llama-3.2-1B-Instruct,mlp,1,2023,4,16,"GPTQ_2bit/Prompt_01,GPTQ_2bit/Prompt_02,GPTQ_2bit/Prompt_03,GPTQ_2bit/Prompt_04"
1,Qwen2.5-1.5B-Instruct,attn,1,1421,16,16,"GPTQ_8bit/Prompt_01,GPTQ_8bit/Prompt_02,GPTQ_8bit/Prompt_03,GPTQ_8bit/Prompt_04,GPTQ_4bit/Prompt_01,GPTQ_4bit/Prompt_02,GPTQ_4bit/Prompt_03,GPTQ_4bit/Prompt_04,GPTQ_3bit/Prompt_01,GPTQ_3bit/Prompt_02,GPTQ_3bit/Prompt_03,GPTQ_3bit/Prompt_04,GPTQ_2bit/Prompt_01,GPTQ_2bit/Prompt_02,GPTQ_2bit/Prompt_03,GPTQ_2bit/Prompt_04"
1,Qwen2.5-1.5B-Instruct,attn,1,1360,12,16,"GPTQ_8bit/Prompt_02,GPTQ_4bit/Prompt_01,GPTQ_4bit/Prompt_02,GPTQ_4bit/Prompt_03,GPTQ_4bit/Prompt_04,GPTQ_3bit/Prompt_01,GPTQ_3bit/Prompt_02,GPTQ_3bit/Prompt_03,GPTQ_2bit/Prompt_01,GPTQ_2bit/Prompt_02,GPTQ_2bit/Prompt_03,GPTQ_2bit/Prompt_04"
1,Qwen2.5-1.5B-Instruct,attn,1,609,9,16,"GPTQ_4bit/Prompt_01,GPTQ_4bit/Prompt_02,GPTQ_4bit/Prompt_03,GPTQ_4bit/Prompt_04,GPTQ_3bit/Prompt_01,GPTQ_3bit/Prompt_02,GPTQ_3bit/Prompt_03,GPTQ_3bit/Prompt_04,GPTQ_2bit/Prompt_03"
1,Qwen2.5-1.5B-Instruct,attn,1,969,6,16,"GPTQ_8bit/Prompt_04,GPTQ_3bit/Prompt_01,GPTQ_3bit/Prompt_02,GPTQ_3bit/Prompt_03,GPTQ_3bit/Prompt_04,GPTQ_2bit/Prompt_04"
1,Qwen2.5-1.5B-Instruct,attn,1,113,5,16,"GPTQ_4bit/Prompt_01,GPTQ_4bit/Prompt_02,GPTQ_4bit/Prompt_03,GPTQ_4bit/Prompt_04,GPTQ_2bit/Prompt_01"
1,Qwen2.5-1.5B-Instruct,attn,1,1166,5,16,"GPTQ_4bit/Prompt_01,GPTQ_4bit/Prompt_02,GPTQ_4bit/Prompt_03,GPTQ_4bit/Prompt_04,GPTQ_2bit/Prompt_03"
1,Qwen2.5-1.5B-Instruct,attn,1,1073,4,16,"GPTQ_8bit/Prompt_01,GPTQ_8bit/Prompt_02,GPTQ_2bit/Prompt_02,GPTQ_2bit/Prompt_04"
1,Qwen2.5-1.5B-Instruct,attn,1,1222,4,16,"GPTQ_2bit/Prompt_01,GPTQ_2bit/Prompt_02,GPTQ_2bit/Prompt_03,GPTQ_2bit/Prompt_04"
1,Qwen2.5-1.5B-Instruct,attn,1,1283,4,16,"GPTQ_8bit/Prompt_02,GPTQ_8bit/Prompt_03,GPTQ_8bit/Prompt_04,GPTQ_3bit/Prompt_04"
1,Qwen2.5-1.5B-Instruct,attn,1,520,3,16,"GPTQ_8bit/Prompt_01,GPTQ_8bit/Prompt_03,GPTQ_3bit/Prompt_03"
1,Qwen2.5-1.5B-Instruct,attn,1,580,3,16,"GPTQ_8bit/Prompt_01,GPTQ_3bit/Prompt_02,GPTQ_2bit/Prompt_02"
1,Qwen2.5-1.5B-Instruct,attn,1,1424,3,16,"GPTQ_8bit/Prompt_02,GPTQ_8bit/Prompt_04,GPTQ_3bit/Prompt_04"
1,Qwen2.5-1.5B-Instruct,attn,1,507,2,16,"GPTQ_8bit/Prompt_03,GPTQ_3bit/Prompt_01"
1,Qwen2.5-1.5B-Instruct,attn,1,286,1,16,GPTQ_8bit/Prompt_01
1,Qwen2.5-1.5B-Instruct,attn,1,356,1,16,GPTQ_8bit/Prompt_04
1,Qwen2.5-1.5B-Instruct,attn,1,865,1,16,GPTQ_8bit/Prompt_03
1,Qwen2.5-1.5B-Instruct,attn,1,1248,1,16,GPTQ_2bit/Prompt_01
1,Qwen2.5-1.5B-Instruct,mlp,1,408,16,16,"GPTQ_8bit/Prompt_01,GPTQ_8bit/Prompt_02,GPTQ_8bit/Prompt_03,GPTQ_8bit/Prompt_04,GPTQ_4bit/Prompt_01,GPTQ_4bit/Prompt_02,GPTQ_4bit/Prompt_03,GPTQ_4bit/Prompt_04,GPTQ_3bit/Prompt_01,GPTQ_3bit/Prompt_02,GPTQ_3bit/Prompt_03,GPTQ_3bit/Prompt_04,GPTQ_2bit/Prompt_01,GPTQ_2bit/Prompt_02,GPTQ_2bit/Prompt_03,GPTQ_2bit/Prompt_04"
1,Qwen2.5-1.5B-Instruct,mlp,1,520,16,16,"GPTQ_8bit/Prompt_01,GPTQ_8bit/Prompt_02,GPTQ_8bit/Prompt_03,GPTQ_8bit/Prompt_04,GPTQ_4bit/Prompt_01,GPTQ_4bit/Prompt_02,GPTQ_4bit/Prompt_03,GPTQ_4bit/Prompt_04,GPTQ_3bit/Prompt_01,GPTQ_3bit/Prompt_02,GPTQ_3bit/Prompt_03,GPTQ_3bit/Prompt_04,GPTQ_2bit/Prompt_01,GPTQ_2bit/Prompt_02,GPTQ_2bit/Prompt_03,GPTQ_2bit/Prompt_04"
1,Qwen2.5-1.5B-Instruct,mlp,1,286,15,16,"GPTQ_8bit/Prompt_02,GPTQ_8bit/Prompt_03,GPTQ_8bit/Prompt_04,GPTQ_4bit/Prompt_01,GPTQ_4bit/Prompt_02,GPTQ_4bit/Prompt_03,GPTQ_4bit/Prompt_04,GPTQ_3bit/Prompt_01,GPTQ_3bit/Prompt_02,GPTQ_3bit/Prompt_03,GPTQ_3bit/Prompt_04,GPTQ_2bit/Prompt_01,GPTQ_2bit/Prompt_02,GPTQ_2bit/Prompt_03,GPTQ_2bit/Prompt_04"
1,Qwen2.5-1.5B-Instruct,mlp,1,940,15,16,"GPTQ_8bit/Prompt_02,GPTQ_8bit/Prompt_03,GPTQ_8bit/Prompt_04,GPTQ_4bit/Prompt_01,GPTQ_4bit/Prompt_02,GPTQ_4bit/Prompt_03,GPTQ_4bit/Prompt_04,GPTQ_3bit/Prompt_01,GPTQ_3bit/Prompt_02,GPTQ_3bit/Prompt_03,GPTQ_3bit/Prompt_04,GPTQ_2bit/Prompt_01,GPTQ_2bit/Prompt_02,GPTQ_2bit/Prompt_03,GPTQ_2bit/Prompt_04"
1,Qwen2.5-1.5B-Instruct,mlp,1,609,14,16,"GPTQ_8bit/Prompt_01,GPTQ_8bit/Prompt_02,GPTQ_4bit/Prompt_01,GPTQ_4bit/Prompt_02,GPTQ_4bit/Prompt_03,GPTQ_4bit/Prompt_04,GPTQ_3bit/Prompt_01,GPTQ_3bit/Prompt_02,GPTQ_3bit/Prompt_03,GPTQ_3bit/Prompt_04,GPTQ_2bit/Prompt_01,GPTQ_2bit/Prompt_02,GPTQ_2bit/Prompt_03,GPTQ_2bit/Prompt_04"
1,Qwen2.5-1.5B-Instruct,mlp,1,713,2,16,"GPTQ_8bit/Prompt_03,GPTQ_8bit/Prompt_04"
1,Qwen2.5-1.5B-Instruct,mlp,1,872,1,16,GPTQ_8bit/Prompt_01
1,Qwen2.5-1.5B-Instruct,mlp,1,1421,1,16,GPTQ_8bit/Prompt_01
